2116, 3
Calzones, Pizzas, Cheese
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
0.0, 0.0, 100.0
3.489949670250097, 0.0, 99.93908270190957
3.487823687206265, 0.1217974870087876, 99.93908270190957
3.4814483282576245, 0.24344658254111964, 99.93908270190957
3.470831360797007, 0.3647990759126966, 99.93908270190957
3.4559857199638437, 0.4857071178032638, 99.93908270190957
3.4369294928846945, 0.6060234003882338, 99.93908270190957
3.413685896636869, 0.7256013368105794, 99.93908270190957
3.386283249961992, 0.8442952397743387, 99.93908270190957
3.354754938763985, 0.9619604990421449, 99.93908270190957
3.319139375433477, 1.0784537576205238, 99.93908270190957
3.2794799520482307, 1.1936330864183085, 99.93908270190957
3.2358249875065734, 1.3073581571653743, 99.93908270190957
3.1882276686582687, 1.4194904133810202, 99.93908270190957
3.1367459855045285, 1.5298932391836975, 99.93908270190957
3.081442660546129, 1.6384321257364174, 99.93908270190957
3.022385072365709, 1.7449748351250483, 99.93908270190957
2.9596451735373415, 1.8493915614698475, 99.93908270190957
2.8932994029634083, 1.9515550890739275, 99.93908270190957
2.8234285927455725, 2.0513409474159867, 99.93908270190957
2.7501178697033093, 2.1486275627984694, 99.93908270190957
2.6734565516599966, 2.243296406466386, 99.93908270190957
2.593538038622898, 2.3352321390163446, 99.93908270190957
2.510459698989646, 2.4243227509198473, 99.93908270190957
2.4243227509198473, 2.5104596989896457, 99.93908270190957
2.3352321390163446, 2.593538038622898, 99.93908270190957
2.2432964064663863, 2.6734565516599966, 99.93908270190957
2.1486275627984694, 2.7501178697033097, 99.93908270190957
2.0513409474159867, 2.8234285927455725, 99.93908270190957
1.951555089073927, 2.8932994029634087, 99.93908270190957
1.8493915614698475, 2.9596451735373415, 99.93908270190957
1.744974835125049, 3.0223850723657084, 99.93908270190957
1.6384321257364174, 3.081442660546129, 99.93908270190957
1.5298932391836977, 3.1367459855045285, 99.93908270190957
1.4194904133810202, 3.1882276686582687, 99.93908270190957
1.307358157165374, 3.2358249875065734, 99.93908270190957
1.193633086418309, 3.2794799520482303, 99.93908270190957
1.078453757620524, 3.319139375433477, 99.93908270190957
0.9619604990421449, 3.354754938763985, 99.93908270190957
0.8442952397743386, 3.386283249961992, 99.93908270190957
0.7256013368105797, 3.4136858966368684, 99.93908270190957
0.6060234003882341, 3.4369294928846945, 99.93908270190957
0.4857071178032639, 3.4559857199638437, 99.93908270190957
0.36479907591269656, 3.470831360797007, 99.93908270190957
0.2434465825411194, 3.4814483282576245, 99.93908270190957
0.121797487008788, 3.487823687206265, 99.93908270190957
0.0, 3.489949670250097, 99.93908270190957
